Name,Price,links_href,CpuType,Ram,Storage,Display,GPU,OSystem,Battery,Resolution
Laptop ASUS TUF Gaming F16 FX607VJ-RL034W,21.790.000đ,https://cellphones.com.vn/laptop-asus-tuf-gaming-f16-fx607vj-rl034w.html,"Intel Core 5 210H 2.2 GHz (12MB Cache, up to 4.8 GHz, 8 lõi, 12 luồng)",16GB,"512GB PCIe 4.0 NVMe M.2 SSD (2 Khe cắm M.2 hỗ trợ SATA hoặc NVMe, tối đa 2TB)",16 inches,"NVIDIA GeForce RTX 3050 6GB GDDR6
Intel Iris Xe Graphics",Windows 11 Home,"56WHrs, 4S1P, 4-cell Li-ion",1920 x 1200 pixels (WUXGA)
Laptop Acer Gaming Aspire 7 A715-59G-57TU,18.990.000đ,https://cellphones.com.vn/laptop-acer-gaming-aspire-7-a715-59g-57tu.html,"Intel Core i5-12450H (8 lõi / 12 luồng, Tần số Turbo tối đa của E-core : 3.3 GHz, Tần số Turbo tối đa của P-core : 4.4 GHz, 12 MB Intel Smart Cache)",16GB,512GB PCIe NVMe SSD (Nâng cấp tối đa 4TB),15.6 inches,"NVIDIA GeForce RTX 3050 6 GB, supporting 2560 NVIDIA CUDA Cores","2x cổng USB Type-C
2x cổng USB Standard-A
Cổng HDMI 2.1 có hỗ trợ HDCP
Cổng Ethernet (RJ-45)
Giắc cắm 3.5 mm, hỗ trợ tai nghe có micrô tích hợp
Giắc cắm DC-in cho bộ đổi nguồn AC
Đầu đọc thẻ microSD
Mini DisplayPort 1.4","Pin Li-ion 3 cell 54,8Wh
Bộ đổi nguồn AC 150W",1920 x 1080 pixels (FullHD)
Laptop HP 15-FC0086AU A6VV9PA,12.690.000đ,https://cellphones.com.vn/laptop-hp-15-fc0086au-a6vv9pa.html,"AMD Ryzen 5 7430U (up to 4.3 GHz max boost clock, 16 MB L3 cache, 6 lõi, 12 luồng)",16GB,512 GB PCIe NVMe M.2 SSD,15.6 inches,AMD Radeon Graphics,Windows 11 Home,"1x USB Type-C (chỉ hỗ trợ truyền dữ liệu và không hỗ trợ sạc hoặc màn hình ngoài)
2x USB Type-A
1x AC smart pin
1x HDMI 1.4b
1x headphone/microphone combo",1920 x 1080 pixels (FullHD)
Laptop ASUS VivoBook Go 14 E1404FA-NK177W,11.890.000đ,https://cellphones.com.vn/laptop-asus-vivobook-go-14-e1404fa-nk177w.html,"AMD Ryzen 5 7520U (4MB cache, up to 4.3 GHz, 4 lõi/8 luồng)",16GB,SSD 512GB M.2 NVMe PCIe 3.0,14 inches,AMD Radeon Graphics,Windows 11 Home,"42WHrs, 3S1P, Li-ion 3 cell",1920 x 1080 pixels (FullHD)
Apple MacBook Air M2 2024 8CPU 8GPU 16GB 256GB I Chính hãng Apple Việt Nam,19.790.000đ,https://cellphones.com.vn/macbook-air-m2-2022-16gb.html,Apple M2 8 nhân,16GB,256GB,13.6 inches,"8 nhân GPU, 16 nhân Neural Engine",MacOS,"52,6 Wh",2560 x 1664 pixels
